"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
"1200",0,0.571428571428571,0.454545454545455,0.166666666666667,"2016-06-06",0.718238993710692,0.00677552815142006,0.303393213572856,0.351063829787234,0.28,0.357142857142857,0.316987740805604,0.623170731707317,0.76,0.476063829787234,1,0.585817060637205
"1202",0.666666666666667,0.285714285714286,0.454545454545455,0.166666666666667,"2014-06-06",0.69811320754717,0.00610597005976056,0.375249500998004,0.978723404255319,0.218666666666667,0.211904761904762,0.122591943957968,0.623170731707317,0.765333333333333,0.587765957446808,0,0.570400822199383
"1203",0.166666666666667,0.571428571428571,0.454545454545455,0.666666666666667,"2016-06-21",0.727044025157233,0.00665560729918254,0.429141716566867,0.723404255319149,0.277333333333333,0.240476190476191,0.227670753064799,0.623170731707317,0.786666666666667,0.0345744680851064,0,0.506680369989723
"1207",0.166666666666667,0.857142857142857,0.454545454545455,0.6,"2018-06-19",0.778616352201258,0.00684548198189195,0.365269461077844,0.606382978723404,0.261333333333333,0.240476190476191,0.155866900175131,0.732926829268293,0.828,0.00797872340425532,1,0.641315519013361
"1210",0.333333333333333,0.571428571428571,0.454545454545455,0.7,"2016-06-22",0.752201257861635,0.00668558751224192,0.405189620758483,0.702127659574468,0.162666666666667,0.211904761904762,0.122591943957968,0.647560975609756,0.772,0.023936170212766,0,0.578622816032888
"1221",1,0.428571428571429,0.454545454545455,0.9,"2015-06-28",0.737106918238994,0.0068254951731857,0.427145708582835,0.393617021276596,0.298666666666667,0.521428571428571,0.506129597197898,0.647560975609756,0.746666666666667,0.00797872340425532,1,0.356628982528263
"1222",0.333333333333333,0.142857142857143,0.454545454545455,0.366666666666667,"2013-06-12",0.732075471698113,0.00625587112505746,0.287425149700599,0.797872340425532,0.325333333333333,0.285714285714286,0.227670753064799,0.647560975609756,0.813333333333333,0.00797872340425532,0,0.438848920863309
"1224",1,0.428571428571429,0.454545454545455,0.666666666666667,"2015-06-21",0.743396226415094,0.00681550176883257,0.510978043912177,0.595744680851064,0.253333333333333,0.264285714285714,0.245183887915937,0.653658536585366,0.813333333333333,0,1,0.44398766700925
"1225",0.166666666666667,0.142857142857143,0.454545454545455,0.333333333333333,"2013-06-11",0.691823899371069,0.00661563368177003,0.393213572854293,0.127659574468085,0.304,0.240476190476191,0.176882661996497,0.565853658536585,0.772,0.361702127659574,1,0.459403905447071
"1230",0.833333333333333,0.142857142857143,0.454545454545455,0.233333333333333,"2013-06-08",0.710691823899371,0.00662562708612316,0.405189620758483,0.446808510638298,0.461333333333333,0.430952380952381,0.367775831873905,0.571951219512195,0.786666666666667,0.25,1,0.393627954779034
"1231",0.166666666666667,0.714285714285714,0.454545454545455,0.166666666666667,"2017-06-06",0.586163522012579,0.00571622728998861,0.345309381237525,0.478723404255319,0.357333333333333,0.378571428571429,0.299474605954466,0.571951219512195,0.693333333333333,0,0,0.485097636176773
"1233",0,0.285714285714286,0.454545454545455,0.5,"2014-06-16",0.747169811320755,0.00566626026822297,0.590818363273455,1,0.152,0.19047619047619,0.10507880910683,0.681707317073171,0.798666666666667,0,0,0.446043165467626
"1234",1,0.285714285714286,0.454545454545455,0.466666666666667,"2014-06-15",0.758490566037736,0.00611596346411369,0.497005988023953,1,0.242666666666667,0.166666666666667,0.0875656742556918,0.681707317073171,0.828,0.00531914893617021,0,0.294964028776978
"1239",0.166666666666667,1,0.454545454545455,0.333333333333333,"2019-06-11",0.728301886792453,0.00681550176883257,0.463073852295411,0.51063829787234,0.250666666666667,0.264285714285714,0.194395796847636,0.681707317073171,0.746666666666667,0.0904255319148936,1,0.507708119218911
"1243",0.5,0.571428571428571,0.454545454545455,0.5,"2016-06-16",0.747169811320755,0.00629584474246997,0.40119760479042,1,0.128,0.166666666666667,0.122591943957968,0.681707317073171,0.76,0,0,0.514902363823227
"1244",1,0.571428571428571,0.454545454545455,0.133333333333333,"2016-06-05",0.661635220125786,0.00635580516858873,0.467065868263473,0.297872340425532,0.226666666666667,0.285714285714286,0.21015761821366,0.681707317073171,0.746666666666667,0,1,0.285714285714286
"1245",0,0.142857142857143,0.454545454545455,0.766666666666667,"2013-06-24",0.767295597484277,0.00711530389942638,0.538922155688624,0.234042553191489,0.274666666666667,0.211904761904762,0.140105078809107,0.681707317073171,0.88,0,1,0.505652620760534
"1248",0.5,0.285714285714286,0.454545454545455,0.366666666666667,"2014-06-12",0.69433962264151,0.00596606239881678,0.612774451097806,1,0.309333333333333,0.30952380952381,0.21015761821366,0.596341463414634,0.772,0,0,0.385405960945529
"1249",0.666666666666667,1,0.454545454545455,0.666666666666667,"2019-06-21",0.722012578616352,0.00681550176883257,0.169660678642715,0.340425531914894,0.218666666666667,0.240476190476191,0.140105078809107,0.596341463414634,0.786666666666667,0.00265957446808511,1,0.599177800616649
"1251",0.333333333333333,0.428571428571429,0.454545454545455,0.533333333333333,"2015-06-17",0.742138364779874,0.00605600303799492,0.564870259481038,0.829787234042553,0.338666666666667,0.378571428571429,0.299474605954466,0.596341463414634,0.786666666666667,0,1,0.532374100719424
"1253",1,0.285714285714286,0.454545454545455,0,"2014-06-01",0.661635220125786,0.00501668898526972,0.714570858283433,1,0.245333333333333,0.211904761904762,0.140105078809107,0.596341463414634,0.708,0,0,0.42754367934224
"1254",0.333333333333333,0.571428571428571,0.454545454545455,0.233333333333333,"2016-06-08",0.70314465408805,0.00618591729458557,0.191616766467067,0.829787234042553,0.288,0.357142857142857,0.245183887915937,0.596341463414634,0.798666666666667,0,1,0.590955806783145
"1256",0.333333333333333,0.714285714285714,0.454545454545455,0.666666666666667,"2017-06-21",0.714465408805032,0.00684548198189195,0.491017964071858,0.51063829787234,0.256,0.240476190476191,0.122591943957968,0.596341463414634,0.828,0,1,0.571428571428571
"1257",0.333333333333333,0.285714285714286,0.454545454545455,0.566666666666667,"2014-06-18",0.827672955974843,0.00695540942977635,0.435129740518962,0.617021276595745,0.221333333333333,0.30952380952381,0.21015761821366,0.791463414634146,0.813333333333333,0.00265957446808511,1,0.488180883864337
"1258",1,0.428571428571429,0.454545454545455,0.433333333333333,"2015-06-14",0.768553459119497,0.00601602942058242,0.562874251497008,1,0.189333333333333,0.142857142857143,0.0332749562171629,0.70609756097561,0.813333333333333,0,0,0.40082219938335
